| Contract                                            | Size (kB) | Margin (kB) |
|-----------------------------------------------------|-----------|-------------|
| Address                                             | 0.086     | 24.49       |
| AddressUpgradeable                                  | 0.086     | 24.49       |
| Counters                                            | 0.086     | 24.49       |
| CountersUpgradeable                                 | 0.086     | 24.49       |
| ERC1967Proxy                                        | 0.699     | 23.877      |
| ERC721                                              | 4.339     | 20.237      |
| ERC721PresetMinterPauserAutoIdCustomized            | 9.984     | 14.592      |
| ERC721PresetMinterPauserAutoIdCustomizedUpgradeable | 10.727    | 13.849      |
| ERC721Upgradeable                                   | 4.339     | 20.237      |
| EnumerableSet                                       | 0.086     | 24.49       |
| EnumerableSetUpgradeable                            | 0.086     | 24.49       |
| Math                                                | 0.086     | 24.49       |
| MathUpgradeable                                     | 0.086     | 24.49       |
| SampleERC721                                        | 11.012    | 13.564      |
| SampleERC721Upgradeable                             | 11.734    | 12.842      |
| SignedMathUpgradeable                               | 0.086     | 24.49       |
| StdInvariant                                        | 2.038     | 22.538      |
| StdStyle                                            | 0.086     | 24.49       |
| StorageSlot                                         | 0.086     | 24.49       |
| Strings                                             | 0.086     | 24.49       |
| StringsUpgradeable                                  | 0.086     | 24.49       |
| TransparentUpgradeableProxy                         | 2.096     | 22.48       |
| console                                             | 0.086     | 24.49       |
| console2                                            | 0.086     | 24.49       |
| stdError                                            | 0.591     | 23.985      |
| stdJson                                             | 0.086     | 24.49       |
| stdMath                                             | 0.086     | 24.49       |
| stdStorage                                          | 0.086     | 24.49       |
| stdStorageSafe                                      | 0.086     | 24.49       |

